//arm station octant half gap plane channel
0 1 6 0 2 0 1
0 1 6 0 2 0 2
0 1 6 0 2 0 3
0 1 6 0 2 2 8
0 1 7 0 0 0 2
0 1 7 0 0 0 3
0 1 7 0 0 0 4
0 1 7 0 0 2 5
0 1 7 0 0 2 6
0 1 7 0 0 2 7
0 1 7 0 1 0 2
0 1 7 0 1 0 3
0 1 7 0 1 2 4
0 1 7 0 2 0 2
0 1 7 0 2 0 3
0 1 7 0 2 0 4
0 1 7 0 2 2 6
0 1 7 0 2 2 7
0 1 7 1 0 2 76
0 1 7 1 0 2 77
0 2 0 0 0 0 117
0 2 0 0 0 0 118
0 2 0 0 0 2 1
0 2 0 0 0 2 118
0 2 0 0 0 2 2
0 2 0 0 0 2 3
0 2 0 0 1 0 117
0 2 0 0 1 0 118
0 2 0 0 1 2 1
0 2 0 0 1 2 118
0 2 0 0 1 2 4
0 2 0 1 0 0 3
0 2 0 1 0 0 4
0 2 0 1 0 2 114
0 2 0 1 1 0 2
0 2 0 1 1 0 3
0 2 0 1 1 0 4
0 2 0 1 1 2 3
0 2 1 0 0 0 115
0 2 1 0 0 2 1
0 2 1 0 0 2 2
0 2 1 0 1 0 116
0 2 1 0 1 0 117
0 2 1 0 1 2 1
0 2 1 0 1 2 2
0 2 1 0 1 2 4
0 2 1 1 0 0 1
0 2 1 1 0 0 2
0 2 1 1 0 0 6
0 2 1 1 0 2 113
0 2 1 1 0 2 114
0 2 1 1 0 2 116
0 2 1 1 0 2 117
0 2 1 1 0 2 118
0 2 1 1 0 2 3
0 2 1 1 1 0 1
0 2 1 1 1 0 5
0 2 1 1 1 0 6
0 2 1 1 1 0 7
0 2 1 1 1 0 8
0 2 1 1 1 2 116
0 2 1 1 1 2 117
0 2 1 1 1 2 2
0 2 2 0 0 0 101
0 2 2 0 0 0 102
0 2 2 0 0 0 103
0 2 2 0 0 0 104
0 2 2 0 0 0 105
0 2 2 0 0 0 107
0 2 2 0 0 0 108
0 2 2 0 0 0 110
0 2 2 0 0 0 111
0 2 2 0 0 0 112
0 2 2 0 0 0 113
0 2 2 0 0 0 114
0 2 2 0 0 0 115
0 2 2 0 0 0 116
0 2 2 0 0 0 117
0 2 2 0 0 0 118
0 2 2 0 0 0 95
0 2 2 0 0 0 96
0 2 2 0 0 0 97
0 2 2 0 0 2 100
0 2 2 0 0 2 101
0 2 2 0 0 2 110
0 2 2 0 0 2 111
0 2 2 0 0 2 112
0 2 2 0 0 2 116
0 2 2 0 0 2 117
0 2 2 0 0 2 2
0 2 2 0 0 2 3
0 2 2 0 0 2 4
0 2 2 0 1 0 107
0 2 2 0 1 0 108
0 2 2 0 1 0 109
0 2 2 0 1 0 110
0 2 2 0 1 0 111
0 2 2 0 1 0 112
0 2 2 0 1 0 113
0 2 2 0 1 0 114
0 2 2 0 1 0 115
0 2 2 0 1 0 116
0 2 2 0 1 0 117
0 2 2 0 1 0 118
0 2 2 0 1 0 48
0 2 2 0 1 0 49
0 2 2 0 1 0 50
0 2 2 0 1 0 51
0 2 2 0 1 0 52
